,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
2671,Fernando Maynetto,31.0,28.0,59.0,0.5254237288135594,0.4745762711864407
2672,Fernando Meligeni,150.0,95.0,245.0,0.6122448979591837,0.3877551020408163
2673,Fernando Pascal,0.0,1.0,1.0,0.0,1.0
2674,Fernando Perez Pascal,3.0,7.0,10.0,0.3,0.7
2675,Fernando Roese,134.0,113.0,247.0,0.5425101214574899,0.4574898785425101
2676,Fernando Romboli,49.0,100.0,149.0,0.3288590604026846,0.6711409395973155
2677,Fernando Sierra,0.0,1.0,1.0,0.0,1.0
2678,Fernando Soler,10.0,23.0,33.0,0.30303030303030304,0.696969696969697
2679,Fernando Souza,0.0,1.0,1.0,0.0,1.0
2680,Fernando Van Ortz,0.0,2.0,2.0,0.0,1.0
2681,Fernando Vasquez,0.0,1.0,1.0,0.0,1.0
2682,Fernando Verdasco,53.0,37.0,90.0,0.5888888888888889,0.4111111111111111
2683,Fernando Vicente,218.0,175.0,393.0,0.55470737913486,0.44529262086513993
2684,Fernando Yamacita,2.0,5.0,7.0,0.2857142857142857,0.7142857142857143
2685,Fernon Wibier,72.0,73.0,145.0,0.496551724137931,0.503448275862069
2686,Ferrante Rocchi,30.0,28.0,58.0,0.5172413793103449,0.4827586206896552
2687,Filiberto Fumagalli,0.0,1.0,1.0,0.0,1.0
2688,Filip Ambrozy,0.0,3.0,3.0,0.0,1.0
2689,Filip Aniola,0.0,2.0,2.0,0.0,1.0
2690,Filip Bergevi,4.0,9.0,13.0,0.3076923076923077,0.6923076923076923
2691,Filip Cristian Jianu,34.0,37.0,71.0,0.4788732394366197,0.5211267605633803
2692,Filip Dewulf,104.0,92.0,196.0,0.5306122448979592,0.46938775510204084
2693,Filip Dolezel,0.0,1.0,1.0,0.0,1.0
2694,Filip Duda,0.0,1.0,1.0,0.0,1.0
2695,Filip Havaj,0.0,1.0,1.0,0.0,1.0
2696,Filip Horansky,142.0,139.0,281.0,0.505338078291815,0.49466192170818507
2697,Filip Karlsson,0.0,1.0,1.0,0.0,1.0
2698,Filip Kascak,0.0,3.0,3.0,0.0,1.0
2699,Filip Kolasinski,1.0,1.0,2.0,0.5,0.5
2700,Filip Krajcik,10.0,15.0,25.0,0.4,0.6
2701,Filip Krajinovic,231.0,121.0,352.0,0.65625,0.34375
2702,Filip Malbasic,0.0,3.0,3.0,0.0,1.0
2703,Filip Misolic,8.0,5.0,13.0,0.6153846153846154,0.38461538461538464
2704,Filip Peliwo,89.0,117.0,206.0,0.4320388349514563,0.5679611650485437
2705,Filip Polasek,3.0,10.0,13.0,0.23076923076923078,0.7692307692307693
2706,Filip Prpic,107.0,119.0,226.0,0.47345132743362833,0.5265486725663717
2707,Filip Rams,0.0,1.0,1.0,0.0,1.0
2708,Filip Roj,2.0,9.0,11.0,0.18181818181818182,0.8181818181818182
2709,Filip Serdarusic,0.0,1.0,1.0,0.0,1.0
2710,Filip Tomanic,0.0,1.0,1.0,0.0,1.0
