,player_name,win,lost,match_played,total_win_percentage,total_lost_percentage
777,Christian Jessel,0.0,1.0,1.0,0.0,1.0
778,Christian Kuhnke,28.035714285714285,21.047619047619047,49.08333333333333,0.5711860295901043,0.4288139704098957
779,Christian Lindell,2.0,11.0,13.0,0.15384615384615385,0.8461538461538461
780,Christian Miniussi,59.0,81.01234567901236,140.01234567901236,0.4213914116920906,0.5786085883079094
781,Christian Pieper,0.0,2.0,2.0,0.0,1.0
782,Christian Ruud,100.0,131.0,231.0,0.4329004329004329,0.5670995670995671
783,Christian Saceanu,71.0,112.0,183.0,0.3879781420765027,0.6120218579234973
784,Christian Vinck,17.0,48.0,65.0,0.26153846153846155,0.7384615384615385
785,Christian Weis,0.0,1.0,1.0,0.0,1.0
786,Christo Steyn,43.0,53.0,96.0,0.4479166666666667,0.5520833333333334
787,Christo Van Rensburg,166.0,160.0,326.0,0.50920245398773,0.49079754601226994
788,Christoph Geukens,0.0,1.0,1.0,0.0,1.0
789,Christoph Meyer,3.0,3.0,6.0,0.5,0.5
790,Christoph Zipf,15.133333333333333,28.035714285714285,43.16904761904762,0.3505598146820363,0.6494401853179637
791,Christophe Bernelle,1.0,6.0,7.0,0.14285714285714285,0.8571428571428571
792,Christophe Casa,16.0,38.0,54.0,0.2962962962962963,0.7037037037037037
793,Christophe Freyss,49.0,83.0,132.0,0.3712121212121212,0.6287878787878788
794,Christophe Lesage,1.0,3.0,4.0,0.25,0.75
795,Christophe Pognon,0.0,1.0,1.0,0.0,1.0
796,Christophe Rochus,114.0,208.0,322.0,0.35403726708074534,0.6459627329192547
797,Christophe Roger Vasselin,90.01111111111112,128.015625,218.02673611111112,0.4128443727435314,0.5871556272564686
798,Christophe Van Garsse,15.0,12.0,27.0,0.5555555555555556,0.4444444444444444
799,Christopher Eubanks,5.0,17.0,22.0,0.22727272727272727,0.7727272727272727
800,Christopher Koderisch,0.0,1.0,1.0,0.0,1.0
801,Christopher Oconnell,5.0,13.0,18.0,0.2777777777777778,0.7222222222222222
802,Christopher Sylvan,3.0,6.0,9.0,0.3333333333333333,0.6666666666666666
803,Christopher Wolff,0.0,2.0,2.0,0.0,1.0
804,Chuck Adams,83.0,93.0,176.0,0.4715909090909091,0.5284090909090909
805,Chuck De Voe,0.0,2.0,2.0,0.0,1.0
806,Chuck Saacke,0.0,1.0,1.0,0.0,1.0
807,Chuck Willenborg,0.0,1.0,1.0,0.0,1.0
808,Chuhan Wang,1.0,1.0,2.0,0.5,0.5
809,Chun Hsin Tseng,0.0,2.0,2.0,0.0,1.0
810,Ciccio Gorla,0.0,1.0,1.0,0.0,1.0
811,Ciprian Petre Porumb,0.0,1.0,1.0,0.0,1.0
812,Clark Graebner,236.0,127.0,363.0,0.650137741046832,0.349862258953168
813,Claude De Gronckel,1.0,6.0,7.0,0.14285714285714285,0.8571428571428571
814,Claude England,0.0,2.0,2.0,0.0,1.0
815,Claude Ngoran,0.0,1.0,1.0,0.0,1.0
816,Claudio Mezzadri,106.0566037735849,135.04444444444445,241.10104821802935,0.43988445739844806,0.5601155426015519
817,Claudio Panatta,100.0,134.0,234.0,0.42735042735042733,0.5726495726495726
